"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5606","has title","chromium","Wed May 07 10:25:02 GMT 2025","failed","Wed May 07 10:25:07 GMT 2025","","example.spec.ts","",""
"","30021","get started link","chromium","Wed May 07 10:26:10 GMT 2025","broken","Wed May 07 10:26:40 GMT 2025","","example.spec.ts","",""
